"nummer";"type";"route";"bijz"
"31200";"Stoptrein(Syntus Twente)";"Zutphen – Hengelo – Oldenzaal";"Rijdt onder de naam Twents."
"31300";"Stoptrein(Connexxion)";"Amersfoort – Barneveld Centrum – Ede-Wageningen";"Onderdeel van de Valleilijn."
"31400";"Stoptrein(Connexxion)";"Amersfoort – Barneveld Centrum – Barneveld Zuid";"Onderdeel van de Valleilijn."
"32000";"Stoptrein(Veolia)";"Maastricht Randwyck – Maastricht – Heerlen – Landgraaf –Kerkrade Centrum";""
"32100";"Sneltrein(Veolia)";"Maastricht – Heerlen";""
"32200";"Stoptrein(Veolia)";"Nijmegen – Venray – Venlo – Roermond";""
"32300";"Stoptrein(Veolia)";"Nijmegen – Venray ( – Venlo)";"Rijdt uitsluitend in de spits. De eerste twee ritten richting Nijmegen beginnen vanaf Venlo en de laatste drie ritten vanaf Nijmegen gaan tot Venlo."
"32400";"Stoptrein(Veolia)";"Cuijk – Nijmegen";"Rijdt uitsluitend in de ochtendspits naar Nijmegen."
"36700";"Stoptrein(Arriva)";"Dordrecht – Gorinchem – Geldermalsen";""
"36800";"Stoptrein(Arriva)";"Dordrecht – Gorinchem";"Stopt niet in Hardinxveld Blauwe Zoom"
"37000";"Stoptrein(Arriva)";"Leeuwarden – Sneek";"Rijdt 's avonds na 20:00 en op zondag niet"
"37100";"Stoptrein(Arriva)";"Leeuwarden – Sneek – Stavoren";""
"37200";"Stoptrein(Arriva)";"Leeuwarden – Harlingen Haven";""
"37300";"Sneltrein(Arriva)";"Leeuwarden – Groningen";""
"37400";"Stoptrein(Arriva)";"Leeuwarden – Groningen";"Enkele treinen per dag stoppen in Leeuwarden Achter de Hoven. In de ochtendspits rijden er enkele extra treinen tussen Zuidhorn en Groningen"
"37500";"Stoptrein(Arriva)";"Groningen – Zuidbroek – Winschoten – Bad Nieuweschans";"Alle treinen tussen Groningen en Winschoten"
"37600";"Stoptrein(Arriva)";"Groningen – Roodeschool";""
"37700";"Stoptrein(Arriva)";"Groningen – Delfzijl";""
"37800";"Stoptrein(Arriva)";"Groningen – Veendam";""
